Date,Product,Weight,Time
12.04.2018,Brownie,40,17.20
12.04.2018,Cake,36,17.20
12.04.2018,Fruit tea,250,17.20
12.04.2018,Apple,236,18.25
12.04.2018,Water,250,19.55
12.04.2018,Pasta,59,20.20
12.04.2018,Meat cutlet,89,20.20
12.04.2018,Vegetable salad,134,20.20
12.04.2018,Water,250,20.30
12.04.2018,Water,250,21.55
12.04.2018,Pumpkin seeds,20,23.40
12.04.2018,Walnuts,15,23.40
12.04.2018,Halva,35,23.40
13.04.2018,Water,300,8.00
13.04.2018,Lemon water,300,9.35
13.04.2018,Black tea,250,11.05
13.04.2018,Scrambled eggs,95,11.05
13.04.2018,Cake,39,11.05
13.04.2018,Bread,46,11.05
13.04.2018,Mineral water (Esentuki 4),250,15.10
13.04.2018,Brownie,44,15.45
13.04.2018,Black tea,250,15.45
13.04.2018,Cookie,4,15.15
13.04.2018,Bread,55,16.40
13.04.2018,Noodles,350,16.50
13.04.2018,Water,300,18.20
13.04.2018,Apple,250,19.40
13.04.2018,Water,250,19.50
13.04.2018,Water,250,20.35
13.04.2018,Vegetable salad,187,21.20
13.04.2018,Bread,90,21.30
13.04.2018,Cookie,30,21.30
13.04.2018,Red wine,375,21.30
13.04.2018,Ice cream,70,21.40
13.04.2018,Water,250,22.25
14.04.2018,Water,300,7.10
14.04.2018,Oatmeal,218,9.20
14.04.2018,Fruit tea,300,9.20
14.04.2018,Cookie,25,9.20
14.04.2018,Bun,100,13.30
14.04.2018,Latte,200,13.30
14.04.2018,Water,250,11.00
14.04.2018,Water,250,14.00
14.04.2018,Mors,250,17.00
14.04.2018,Meat,100,17.00
14.04.2018,Fried potato,160,17.00
14.04.2018,Mayonnaise salad,140,17.00
14.04.2018,Sauce,50,17.00
14.04.2018,Mineral water (Esentuki 4),250,17.35
14.04.2018,Dried apricots,27,18.50
14.04.2018,Water,250,20.50
14.04.2018,Apple,170,22.00
14.04.2018,Fat,20,22.10
14.04.2018,Cookie,12,22.10
14.04.2018,Bread,80,22.10
14.04.2018,Red wine,400,22.10
14.04.2018,White wine,50,22.10
14.04.2018,Ice cream,70,22.20
14.04.2018,Water,250,23.00
15.04.2018,Water,300,6.50
15.04.2018,Water,250,9.10
15.04.2018,Pizza,230,11.20
15.04.2018,Orange juice,200,11.20
15.04.2018,Black tea,250,11.30
15.04.2018,Cookie,32,11.30
15.04.2018,Mineral water (Esentuki 4),250,12.50
15.04.2018,Water,250,14.00
15.04.2018,Water,200,15.00
15.04.2018,Water,200,16.00
15.04.2018,Water,200,16.30
15.04.2018,Gym,1,17.00
15.04.2018,Pizza,77,17.10
15.04.2018,Cookie,40,17.15
15.04.2018,Brownie,30,17.15
15.04.2018,Black tea,250,17.15
15.04.2018,Apple,248,18.35
15.04.2018,Water,250,19.00
15.04.2018,Pumpkin seeds,20,19.40
15.04.2018,Dumplings with potatoes,208,20.10
15.04.2018,Water,250,21.30
15.04.2018,Walnuts,27,22.00
15.04.2018,Water,250,23.33
15.04.2018,Paste,24,23.40
15.04.2018,Bread,70,23.59
16.04.2018,Water,300,8.00
16.04.2018,Oatmeal,220,9.00
16.04.2018,Fruit tea,300,9.00
16.04.2018,Cookie,10,9.00
16.04.2018,Mineral water (Esentuki 4),250,12.30
16.04.2018,Vegetable salad,100,14.10
16.04.2018,Borscht,200,14.10
16.04.2018,Stuffed cabbage,150,14.10
16.04.2018,Mors,200,14.10
16.04.2018,Water,250,14.53
16.04.2018,Lemon water,300,16.19
16.04.2018,Apple,202,16.19
16.04.2018,Water,250,17.45
16.04.2018,Fruit tea,250,18.30
16.04.2018,Cookie,30,18.30
16.04.2018,Chocolate/candy,17,18.30
16.04.2018,Bread,60,19.30
16.04.2018,Pumpkin seeds,20,19.30
16.04.2018,Cookie,20,19.30
16.04.2018,Water,250,19.50
16.04.2018,Pear,160,20.00
16.04.2018,Mashed potatoes,129,21.40
16.04.2018,Bread,48,21.40
16.04.2018,Meat cutlet,28,21.40
16.04.2018,Water,250,21.40
16.04.2018,Dried apricots,27,23.00
17.04.2018,Water,300,7.50
17.04.2018,Oatmeal,220,8.50
17.04.2018,Black tea,300,8.50
17.04.2018,Cookie,15,8.50
17.04.2018,Latte,300,11.50
17.04.2018,Water,200,13.00
17.04.2018,Mineral water (Esentuki 4),250,14.00
17.04.2018,Ice cream,100,14.10
17.04.2018,Apple,235,14.30
17.04.2018,Water,250,15.40
17.04.2018,Patty with cabbage,104,17.00
17.04.2018,Brownie,52,17.00
17.04.2018,Fruit tea,250,17.10
17.04.2018,Walnuts,23,17.10
17.04.2018,Bread,65,17.15
17.04.2018,Water,250,18.30
17.04.2018,Water,250,20.10
17.04.2018,Pumpkin seeds,20,21.25
17.04.2018,Dried apricots,32,21.25
17.04.2018,Water,250,22.30
17.04.2018,Cookie,42,22.50
17.04.2018,Cheese,25,22.50
17.04.2018,Red wine,250,23.10
17.04.2018,Bread,70,23.30
18.04.2018,Water,300,7.00
18.04.2018,Oatmeal,221,9.35
18.04.2018,Black tea,300,9.35
18.04.2018,Cookie,20,9.35
18.04.2018,Soup,300,15.00
18.04.2018,Vegetable salad,150,15.00
18.04.2018,Bread,120,15.00
18.04.2018,Rolls/Sushi,120,15.00
18.04.2018,Mineral water (Esentuki 4),250,16.15
18.04.2018,Apple,227,16.45
18.04.2018,Water,250,17.40
18.04.2018,Fruit tea,300,19.00
18.04.2018,Cookie,32,19.00
18.04.2018,Chocolate/candy,17,19.00
18.04.2018,Water,250,20.00
18.04.2018,Fish,60,21.15
18.04.2018,Bread,70,21.15
18.04.2018,Cookie,20,21.15
18.04.2018,Water,250,21.20
18.04.2018,Water,250,23.00
18.04.2018,Paste,45,23.05
18.04.2018,Chocolate/candy,17,23.30
18.04.2018,Cookie,38,23.30
18.04.2018,Pumpkin seeds,20,23.35
18.04.2018,Red wine,250,23.59
18.04.2018,Dried apricots,20,23.35
19.04.2018,Water,300,7.00
19.04.2018,Oatmeal,220,9.40
19.04.2018,Black tea,300,9.40
19.04.2018,Cookie,10,9.40
19.04.2018,Water,250,13.20
19.04.2018,Soup,300,13.50
19.04.2018,Fish cutlet,80,14.00
19.04.2018,The vinaigrette,100,14.00
19.04.2018,Mors,200,14.00
19.04.2018,Water,250,15.00
19.04.2018,Dried apricots,32,15.00
19.04.2018,Water,250,15.40
19.04.2018,Apple,248,15.50
19.04.2018,Cookie,18,16.10
19.04.2018,Chocolate/candy,17,16.10
19.04.2018,Mineral water (Esentuki 4),250,16.45
19.04.2018,Water,200,20.00
19.04.2018,Hamburger,100,22.50
19.04.2018,Latte,300,22.50
19.04.2018,Vegetable salad,100,22.50
19.04.2018,Paste,24,23.30
20.04.2018,Water,300,7.40
20.04.2018,Oatmeal,208,9.20
20.04.2018,Black tea,300,9.20
20.04.2018,Cookie,8,9.20
20.04.2018,Paste,16,9.20
20.04.2018,Mineral water (Esentuki 4),250,11.00
20.04.2018,Water,250,13.00
20.04.2018,Cookie,20,14.40
20.04.2018,Water,250,15.00
20.04.2018,Stewed potatoes,132,15.20
20.04.2018,Meat,22,15.20
20.04.2018,Vegetable salad,102,15.20
20.04.2018,Bread,50,15.40
20.04.2018,Chocolate/candy,17,15.40
20.04.2018,Water,250,15.50
20.04.2018,Water,250,18.05
20.04.2018,Stewed potatoes,82,19.00
20.04.2018,Bread,118,19.00
20.04.2018,Paste,26,19.00
20.04.2018,Water,250,19.00
20.04.2018,Pumpkin seeds,17,19.10
20.04.2018,Patty with curd,82,19.25
20.04.2018,Cheese,50,20.00
20.04.2018,Red wine,425,20.00
20.04.2018,Ice cream,80,20.15
20.04.2018,Dried apricots,29,21.05
20.04.2018,Water,250,21.55
21.04.2018,Water,300,8.20
21.04.2018,Scrambled eggs,156,10.30
21.04.2018,Bread,38,10.30
21.04.2018,Black tea,300,10.30
21.04.2018,Cookie,22,10.30
21.04.2018,Mineral water (Esentuki 4),250,11.55
21.04.2018,Black coffe,100,12.15
21.04.2018,Bun,200,14.30
21.04.2018,Sausage,120,14.30
21.04.2018,Latte,400,14.30
21.04.2018,Water,250,16.10
21.04.2018,Water,250,17.40
21.04.2018,Beer,1500,21.00
21.04.2018,Fried potatoes,75,21.00
21.04.2018,Cheese,50,21.20
21.04.2018,Bread,100,21.20
21.04.2018,Chicken,120,21.20
21.04.2018,Halva,41,22.00
22.04.2018,Water,300,7.15
22.04.2018,Lemon water,300,10.50
22.04.2018,Pizza,189,11.50
22.04.2018,Black tea,300,11.50
22.04.2018,Water,250,13.40
22.04.2018,Water,600,16.30
22.04.2018,Gym,1,16.30
22.04.2018,Pizza,108,17.00
22.04.2018,Cookie,16,17.00
22.04.2018,Halva,39,17.00
22.04.2018,Dried apricots,33,18.10
22.04.2018,Pumpkin seeds,20,18.20
22.04.2018,Dumplings with potatoes,206,18.30
22.04.2018,Water,250,18.30
22.04.2018,Paste,25,21.00
22.04.2018,Cookie,25,21.00
22.04.2018,Water,250,21.10
22.04.2018,Water,250,22.15
22.04.2018,Curd,130,23.50
22.04.2018,Cookie,12,23.50
23.04.2018,Water,300,7.15
23.04.2018,Lemon water,300,9.20
23.04.2018,Black tea,250,10.00
23.04.2018,Oatmeal,211,10.00
23.04.2018,Cookie,18,10.00
23.04.2018,Dumplings,200,15.00
23.04.2018,Vegetable salad,120,15.00
23.04.2018,Mors,200,15.00
23.04.2018,Ice cream,80,15.20
23.04.2018,Water,300,15.20
23.04.2018,Apple,165,17.00
23.04.2018,Mineral water (Esentuki 4),250,18.00
23.04.2018,Fruit tea,300,19.10
23.04.2018,Brownie,62,19.10
23.04.2018,Bread,100,19.10
23.04.2018,Fried potatoes,120,21.20
23.04.2018,Meat cutlet,46,21.20
23.04.2018,Water,250,21.20
24.04.2018,Water,300,7.05
24.04.2018,Lemon water,300,9.30
24.04.2018,Oatmeal,216,10.20
24.04.2018,Black tea,250,10.20
24.04.2018,Cookie,9,10.20
24.04.2018,Mineral water (Esentuki 4),250,12.00
24.04.2018,Apple,168,12.15
24.04.2018,Latte,250,13.15
24.04.2018,Brownie,59,13.15
24.04.2018,Halva,29,13.15
24.04.2018,Water,600,16.00
24.04.2018,Gym,1,16.00
24.04.2018,Latte,300,17.00
24.04.2018,Cheburek,100,17.00
24.04.2018,Bread,40,17.10
24.04.2018,Dumplings with potatoes,199,19.35
24.04.2018,Water,250,19.35
24.04.2018,Paste,29,19.35
24.04.2018,Dried apricots,28,22.00
24.04.2018,Water,250,22.00
24.04.2018,Pumpkin seeds,20,23.30
24.04.2018,Halva,15,23.30
24.04.2018,Cookie,8,23.30
25.04.2018,Curd,130,0.30
25.04.2018,Water,300,6.50
25.04.2018,Water,250,8.55
25.04.2018,Oatmeal,221,11.00
25.04.2018,Fruit tea,250,11.00
25.04.2018,Cookie,8,11.00
25.04.2018,Mineral water (Esentuki 4),250,12.40
25.04.2018,Brownie,75,14.05
25.04.2018,Latte,350,14.05
25.04.2018,Water,250,15.10
25.04.2018,Fried potatoes,105,15.40
25.04.2018,Meat cutlet,42,15.40
25.04.2018,Bread,120,15.40
25.04.2018,Fruit tea,250,15.40
25.04.2018,Scrambled eggs,306,16.50
25.04.2018,Water,250,18.00
25.04.2018,Fried potatoes,35,20.20
25.04.2018,Water,250,20.20
25.04.2018,Water,250,21.30
25.04.2018,Brownie,30,21.30
25.04.2018,Cookie,18,21.30
25.04.2018,Vegetable salad,200,21.50
26.04.2018,Water,300,5.50
26.04.2018,Lemon water,300,10.00
26.04.2018,Oatmeal,219,11.00
26.04.2018,Fruit tea,300,11.00
26.04.2018,Cookie,10,11.00
26.04.2018,Bread,39,13.00
26.04.2018,Mineral water (Esentuki 4),250,13.00
26.04.2018,Ice cream,80,13.00
26.04.2018,Dried apricots,25,13.00
26.04.2018,Water,250,14.10
26.04.2018,Water,500,15.30
26.04.2018,Gym,1,15.30
26.04.2018,Noodles wok,400,17.10
26.04.2018,Fruit tea,250,17.10
26.04.2018,Dried apricots,10,17.50
26.04.2018,Water,300,18.55
26.04.2018,Apple,210,19.00
26.04.2018,Bread,30,20.00
26.04.2018,Halva,36,21.40
26.04.2018,Walnuts,36,21.40
26.04.2018,Water,300,21.45
26.04.2018,Bread,30,21.45
26.04.2018,Pumpkin seeds,19,21.45
26.04.2018,Paste,19,21.45
26.04.2018,Cookie,4,21.45
26.04.2018,Water,125,23.20
26.04.2018,Pasta,65,23.20
26.04.2018,Cookie,36,23.20
26.04.2018,Bread,30,23.20
27.04.2018,Water,300,8.20
27.04.2018,Lemon water,300,9.40
27.04.2018,Oatmeal,220,10.20
27.04.2018,Black tea,300,10.20
27.04.2018,Brownie,30,10.20
27.04.2018,Mineral water (Esentuki 4),250,14.50
27.04.2018,Latte,150,15.20
27.04.2018,Water,250,17.10
27.04.2018,Water,250,17.30
27.04.2018,Patty with curd,82,17.30
27.04.2018,Paste,27,17.30
27.04.2018,Peanuts / Almond Nuts,10,17.30
27.04.2018,Bread,40,17.30
27.04.2018,Apple,271,19.25
27.04.2018,Water,250,19.50
27.04.2018,Stewed potatoes,160,21.30
27.04.2018,Peanuts / Almond Nuts,40,21.30
27.04.2018,Red wine,375,22.00
27.04.2018,Cookie,70,22.00
27.04.2018,Ice cream,93,22.00
27.04.2018,Water,250,22.10
27.04.2018,Water,250,23.10
28.04.2018,Water,300,6.55
28.04.2018,Water,300,10.00
28.04.2018,Scrambled eggs,160,10.30
28.04.2018,Black tea,300,10.30
28.04.2018,Bread,30,10.30
28.04.2018,Mineral water (Esentuki 4),250,13.10
28.04.2018,Water,250,14.20
28.04.2018,Apple,274,15.05
28.04.2018,Soup,300,16.00
28.04.2018,Fish cutlet,80,16.00
28.04.2018,The vinaigrette,100,16.00
28.04.2018,Mors,200,16.00
28.04.2018,Ice cream,80,17.15
28.04.2018,Water,300,20.10
28.04.2018,Cookie,30,20.10
28.04.2018,Chocolate/candy,15,20.20
28.04.2018,Cheese,50,21.30
28.04.2018,Vegetable salad,236,21.30
28.04.2018,Bread,100,21.30
28.04.2018,Chocolate/candy,9,21.30
28.04.2018,Red wine,375,21.30
29.04.2018,Water,300,7.10
29.04.2018,Water,250,8.25
29.04.2018,Water,250,10.10
29.04.2018,Pizza,190,11.30
29.04.2018,Black tea,200,11.30
29.04.2018,Orange juice,200,11.30
29.04.2018,Cookie,18,11.30
29.04.2018,Cookie,16,13.25
29.04.2018,Bread,30,14.15
29.04.2018,Fruit tea,250,14.15
29.04.2018,Chocolate/candy,15,14.15
29.04.2018,Water,500,16.30
29.04.2018,Gym,1,16.50
29.04.2018,Pizza,158,17.35
29.04.2018,Chocolate/candy,15,17.35
29.04.2018,Cookie,8,17.35
29.04.2018,Mineral water (Esentuki 4),250,17.35
29.04.2018,Apple,236,17.45
29.04.2018,Water,250,18.50
29.04.2018,Stewed potatoes,140,20.00
29.04.2018,Vegetable salad,90,20.00
29.04.2018,Fruit tea,300,20.00
29.04.2018,Cookie,15,20.00
29.04.2018,Cookie,8,22.30
29.04.2018,Sausage,80,22.30
29.04.2018,Mors,125,22.40
30.04.2018,Curd,130,0.30
30.04.2018,Water,300,7.15
30.04.2018,Water,250,8.40
30.04.2018,Oatmeal,216,10.50
30.04.2018,Fruit tea,250,10.50
30.04.2018,Chicken wings,81,14.30
30.04.2018,Fried potato,75,14.30
30.04.2018,Latte,400,14.30
30.04.2018,Water,500,15.00
30.04.2018,Fried potato,150,18.25
30.04.2018,Meat,100,18.25
30.04.2018,Chicken cutlet,30,18.25
30.04.2018,Latte,200,18.25
30.04.2018,Water,400,20.00
30.04.2018,Bread,52,23.00
30.04.2018,Cheese,70,23.00
30.04.2018,Sausage,30,23.00
30.04.2018,Walnuts,40,23.00
30.04.2018,Dried apricots,34,23.00
30.04.2018,Chocolate/candy,50,23.00
30.04.2018,Water,250,23.45
01.05.2018,Water,300,8.00
01.05.2018,Water,300,11.00
01.05.2018,Oatmeal,216,12.00
01.05.2018,Black tea,250,12.00
01.05.2018,Mineral water (Esentuki 4),250,13.10
01.05.2018,Water,300,15.10
01.05.2018,Water,300,16.30
01.05.2018,Gym,1,16.30
01.05.2018,Brownie,30,16.55
01.05.2018,Apple,169,18.00
01.05.2018,Dumplings with potatoes,210,19.05
01.05.2018,Water,250,20.15
01.05.2018,Dried apricots,32,20.15
01.05.2018,Dumplings with potatoes,45,21.50
01.05.2018,Pumpkin seeds,25,21.50
01.05.2018,Cookie,8,21.50
01.05.2018,Water,250,22.00
01.05.2018,Walnuts,25,23.00
01.05.2018,Halva,44,23.00
01.05.2018,Water,250,23.00
02.05.2018,Curd,130,0.25
02.05.2018,Water,300,6.45
02.05.2018,Lemon water,300,10.00
02.05.2018,Oatmeal,216,11.00
02.05.2018,Fruit tea,250,11.00
02.05.2018,Water,250,12.10
02.05.2018,Walnuts,44,13.20
02.05.2018,Pumpkin seeds,20,13.20
02.05.2018,Halva,20,13.20
02.05.2018,Water,250,13.20
02.05.2018,Cookie,45,14.00
02.05.2018,Rolls/Sushi,250,15.10
02.05.2018,Latte,200,15.10
02.05.2018,Bread,40,18.10
02.05.2018,Ice cream,80,18.10
02.05.2018,Mineral water (Esentuki 4),250,18.10
02.05.2018,Apple,266,18.25
02.05.2018,Water,250,20.20
02.05.2018,Bread,30,20.20
02.05.2018,Halva,50,20.40
02.05.2018,Water,250,20.45
02.05.2018,Dumplings with potatoes,165,22.05
02.05.2018,Water,250,22.15
03.05.2018,Water,300,7.20
03.05.2018,Lemon water,300,10.40
03.05.2018,Scrambled eggs,97,11.35
03.05.2018,Bread,48,11.35
03.05.2018,Croissant,72,11.40
03.05.2018,Fruit tea,300,11.40
03.05.2018,Mineral water (Esentuki 4),250,13.50
03.05.2018,Water,400,16.10
03.05.2018,Water,200,16.40
03.05.2018,Noodles wok,300,17.10
03.05.2018,Latte,250,17.10
03.05.2018,Dried apricots,31,17.45
03.05.2018,Apple,274,18.40
03.05.2018,Water,250,18.50
03.05.2018,Water,250,20.55
03.05.2018,Water,250,21.00
03.05.2018,Pumpkin seeds,20,21.40
03.05.2018,Paste,38,21.40
03.05.2018,Water,250,21.45
03.05.2018,Cookie,15,22.30
03.05.2018,Bread,41,23.10
03.05.2018,Cod liver,75,23.10
03.05.2018,Halva,29,23.10
04.05.2018,Water,300,6.00
04.05.2018,Lemon water,300,9.20
04.05.2018,Oatmeal,213,11.10
04.05.2018,Fruit tea,250,11.10
04.05.2018,Cookie,8,11.10
04.05.2018,Pizza,421,16.20
04.05.2018,Fruit tea,300,16.20
04.05.2018,Water,250,17.25
04.05.2018,Mineral water (Esentuki 4),250,19.10
04.05.2018,Apple,167,19.10
04.05.2018,Pumpkin seeds,20,19.50
04.05.2018,Water,250,19.50
04.05.2018,Paste,27,20.50
04.05.2018,Water,250,20.50
04.05.2018,Peanuts / Almond Nuts,40,21.30
04.05.2018,Red wine,300,21.40
04.05.2018,Bread,137,21.50
04.05.2018,Halva,36,22.55
05.05.2018,Water,300,8.30
05.05.2018,Scrambled eggs,160,11.50
05.05.2018,Bread,54,11.50
05.05.2018,Fruit tea,300,11.50
05.05.2018,Cookie,10,11.50
05.05.2018,Water,200,14.00
05.05.2018,Latte,400,16.10
05.05.2018,Cookie,80,16.10
05.05.2018,Mineral water (Esentuki 4),250,17.40
05.05.2018,Bread,80,17.40
05.05.2018,Rice,150,20.00
05.05.2018,Shrimp,170,20.00
05.05.2018,Bread,100,20.00
05.05.2018,Red wine,375,20.00
05.05.2018,Water,250,21.00
05.05.2018,Water,250,22.05
05.05.2018,Peanuts / Almond Nuts,22,23.50
05.05.2018,Fruit tea,250,23.50
05.05.2018,Bread,50,23.50
05.05.2018,Pumpkin seeds,13,23.50
06.05.2018,Water,300,7.20
06.05.2018,Water,300,10.00
06.05.2018,Black tea,300,11.10
06.05.2018,Croissant,55,11.10
06.05.2018,Brownie,50,11.10
06.05.2018,Restaurant,1,17.00
06.05.2018,White wine,1500,17.00
07.05.2018,Water,300,6.20
07.05.2018,Water,300,9.00
07.05.2018,Water,300,11.00
07.05.2018,Dried apricots,24,12.40
07.05.2018,Water,300,12.50
07.05.2018,Fruit tea,300,14.00
07.05.2018,Brownie,111,14.00
07.05.2018,Water,300,15.45
07.05.2018,Water,250,16.40
07.05.2018,Peanuts / Almond Nuts,10,16.50
07.05.2018,Bread,50,16.50
07.05.2018,Dumplings with potatoes,185,17.10
07.05.2018,Water,250,17.40
07.05.2018,Apple,203,18.55
07.05.2018,Water,250,20.10
07.05.2018,Cookie,16,20.10
07.05.2018,Ice cream,50,20.10
07.05.2018,Fried potato,134,20.30
07.05.2018,Meat,26,20.30
07.05.2018,Water,250,20.40
07.05.2018,Water,250,22.00
08.05.2018,Water,300,7.00
08.05.2018,Water,300,11.10
08.05.2018,Oatmeal,213,12.10
08.05.2018,Fruit tea,250,12.10
08.05.2018,Cookie,15,12.10
08.05.2018,Mineral water (Esentuki 4),250,13.10
08.05.2018,Water,250,14.35
08.05.2018,Ice cream,80,14.20
08.05.2018,Gym,1,17.00
08.05.2018,Water,400,17.00
08.05.2018,Apple,260,17.30
08.05.2018,Water,250,17.45
08.05.2018,Fried potato,87,18.45
08.05.2018,Cheese,57,18.45
08.05.2018,Meat,36,18.45
08.05.2018,Bread,50,18.45
08.05.2018,Fruit tea,250,18.45
08.05.2018,Cookie,28,18.45
08.05.2018,Water,250,20.10
08.05.2018,Dried apricots,33,20.30
08.05.2018,Water,250,21.45
08.05.2018,Pumpkin seeds,20,22.50
08.05.2018,Paste,17,22.50
08.05.2018,Ice cream,80,23.40
08.05.2018,Bread,18,23.50
08.05.2018,Meat,20,23.50
09.05.2018,Water,300,6.05
09.05.2018,Water,250,7.35
09.05.2018,Lemon water,300,10.00
09.05.2018,Oatmeal,219,11.10
09.05.2018,Fruit tea,250,11.10
09.05.2018,Meat,250,17.00
09.05.2018,Vegetable salad,15,17.00
09.05.2018,Red wine,275,17.00
09.05.2018,White wine,200,17.30
09.05.2018,Meat,80,18.00
10.05.2018,Water,250,15.00
10.05.2018,Apple,188,15.00
10.05.2018,Vegetable salad,100,15.50
10.05.2018,Mashed potatoes,100,15.50
10.05.2018,Chicken cutlet,85,15.50
10.05.2018,Mors,200,15.50
10.05.2018,Water,250,17.50
10.05.2018,Bread,80,19.40
10.05.2018,Fruit tea,250,19.40
10.05.2018,Cheese,60,19.40
10.05.2018,Patty with curd,85,19.40
10.05.2018,Water,250,20.40
10.05.2018,Pumpkin seeds,20,20.40
10.05.2018,Paste,16,20.40
10.05.2018,Bread,60,20.40
10.05.2018,Bread,30,23.20
10.05.2018,Curd,130,23.59
11.05.2018,Water,300,9.00
11.05.2018,Oatmeal,211,10.20
11.05.2018,Fruit tea,300,10.20
11.05.2018,Water,300,12.00
11.05.2018,Bread,30,14.30
11.05.2018,Dried apricots,31,14.40
11.05.2018,Mineral water (Esentuki 4),250,14.45
11.05.2018,Vegetable salad,60,15.20
11.05.2018,Soup,200,15.20
11.05.2018,Bread,25,15.20
11.05.2018,Dumplings with potatoes,200,15.20
11.05.2018,Mors,250,15.20
11.05.2018,Apple,281,16.55
11.05.2018,Water,250,18.00
11.05.2018,Water,300,19.50
11.05.2018,Paste,17,20.15
11.05.2018,Peanuts / Almond Nuts,10,20.15
11.05.2018,Cookie,20,20.15
11.05.2018,Water,250,20.30
11.05.2018,Pilaf without meat,78,22.00
11.05.2018,Red wine,400,22.30
11.05.2018,Bread,70,22.30
11.05.2018,Chocolate/candy,30,22.30
12.05.2018,Water,300,7.05
12.05.2018,Water,300,11.35
12.05.2018,Scrambled eggs,140,12.45
12.05.2018,Bread,60,12.45
12.05.2018,Black tea,250,12.45
12.05.2018,Water,300,13.40
12.05.2018,Bread,100,16.50
12.05.2018,Fruit tea,300,16.50
12.05.2018,Meat,103,16.50
12.05.2018,Chocolate/candy,22,16.50
12.05.2018,Water,300,19.30
12.05.2018,Water,250,20.00
12.05.2018,Pilaf without meat,49,20.00
12.05.2018,Red wine,375,20.30
12.05.2018,Cheese,100,21.00
12.05.2018,Bun,100,21.00
12.05.2018,Chocolate/candy,20,21.20
12.05.2018,Cookie,10,21.20
12.05.2018,Water,250,23.55
13.05.2018,Water,300,6.15
13.05.2018,Water,250,8.40
13.05.2018,Water,300,11.40
13.05.2018,Pizza,250,12.00
13.05.2018,Black tea,250,12.00
13.05.2018,Water,250,13.45
13.05.2018,Water,400,16.50
